Time,Distance,LapNumber,Driver,DriverNumber,MaxDistance
0 days 00:00:40.268000,1114.8355555555559,2,PER,11,3273.8655555555542
0 days 00:00:40.589000,1119.5613888888893,2,PER,11,3273.8655555555542
0 days 00:00:40.789000,1122.6725000000004,2,PER,11,3273.8655555555542
0 days 00:00:41.188000,1129.3225000000004,2,PER,11,3273.8655555555542
0 days 00:00:41.428000,1133.5225000000003,2,PER,11,3273.8655555555542
0 days 00:00:41.668000,1138.0558333333336,2,PER,11,3273.8655555555542
0 days 00:00:41.908000,1142.8558333333335,2,PER,11,3273.8655555555542
0 days 00:00:42.148000,1148.1225000000002,2,PER,11,3273.8655555555542
0 days 00:00:42.428000,1154.5780555555557,2,PER,11,3273.8655555555542
0 days 00:00:42.628000,1159.3558333333335,2,PER,11,3273.8655555555542
0 days 00:00:42.908000,1166.4336111111113,2,PER,11,3273.8655555555542
0 days 00:00:43.308000,1175.4336111111113,2,PER,11,3273.8655555555542
0 days 00:00:43.548000,1180.5669444444447,2,PER,11,3273.8655555555542
0 days 00:00:43.789000,1185.4538888888892,2,PER,11,3273.8655555555542
0 days 00:00:43.948000,1188.4572222222225,2,PER,11,3273.8655555555542
0 days 00:00:44.188000,1192.7238888888892,2,PER,11,3273.8655555555542
0 days 00:00:44.428000,1196.7238888888892,2,PER,11,3273.8655555555542
0 days 00:00:44.628000,1200.001666666667,2,PER,11,3273.8655555555542
0 days 00:00:44.908000,1204.2794444444448,2,PER,11,3273.8655555555542
0 days 00:00:45.148000,1207.8127777777781,2,PER,11,3273.8655555555542
0 days 00:00:45.468000,1212.0794444444448,2,PER,11,3273.8655555555542
0 days 00:00:45.708000,1215.212777777778,2,PER,11,3273.8655555555542
0 days 00:00:45.868000,1217.1683333333335,2,PER,11,3273.8655555555542
0 days 00:00:46.068000,1219.5016666666668,2,PER,11,3273.8655555555542
0 days 00:00:46.268000,1221.7794444444446,2,PER,11,3273.8655555555542
0 days 00:00:46.468000,1224.0016666666668,2,PER,11,3273.8655555555542
0 days 00:00:46.668000,1226.0572222222222,2,PER,11,3273.8655555555542
0 days 00:00:46.948000,1228.935,2,PER,11,3273.8655555555542
0 days 00:00:47.149000,1231.0008333333333,2,PER,11,3273.8655555555542
0 days 00:00:47.549000,1235.0008333333333,2,PER,11,3273.8655555555542
0 days 00:00:47.868000,1238.1908333333333,2,PER,11,3273.8655555555542
0 days 00:00:48.028000,1239.7908333333332,2,PER,11,3273.8655555555542
0 days 00:00:48.228000,1241.846388888889,2,PER,11,3273.8655555555542
0 days 00:00:48.428000,1243.9575,2,PER,11,3273.8655555555542
0 days 00:00:48.668000,1246.5575,2,PER,11,3273.8655555555542
0 days 00:00:48.908000,1249.4908333333333,2,PER,11,3273.8655555555542
0 days 00:00:49.308000,1254.9352777777776,2,PER,11,3273.8655555555542
0 days 00:00:49.708000,1261.490833333333,2,PER,11,3273.8655555555542
