Time,Distance,LapNumber,Driver,DriverNumber,MaxDistance
0 days 00:00:15.900000,136.64305555555558,1,LEC,16,3433.437222222222
0 days 00:00:16.220000,145.44305555555553,1,LEC,16,3433.437222222222
0 days 00:00:16.420000,150.8319444444445,1,LEC,16,3433.437222222222
0 days 00:00:16.620000,156.4430555555556,1,LEC,16,3433.437222222222
0 days 00:00:16.780000,161.50972222222225,1,LEC,16,3433.437222222222
0 days 00:00:17.021000,169.61,1,LEC,16,3433.437222222222
0 days 00:00:17.260000,176.04972222222224,1,LEC,16,3433.437222222222
0 days 00:00:17.540000,183.3608333333333,1,LEC,16,3433.437222222222
0 days 00:00:17.820000,190.59416666666664,1,LEC,16,3433.437222222222
0 days 00:00:18.181000,200.02027777777778,1,LEC,16,3433.437222222222
0 days 00:00:18.541000,208.62027777777777,1,LEC,16,3433.437222222222
0 days 00:00:18.701000,212.26472222222222,1,LEC,16,3433.437222222222
0 days 00:00:18.901000,216.6536111111111,1,LEC,16,3433.437222222222
0 days 00:00:19.181000,222.48694444444448,1,LEC,16,3433.437222222222
0 days 00:00:19.461000,228.08694444444444,1,LEC,16,3433.437222222222
0 days 00:00:19.861000,235.53138888888893,1,LEC,16,3433.437222222222
0 days 00:00:20.181000,241.13138888888892,1,LEC,16,3433.437222222222
0 days 00:00:20.541000,247.23138888888892,1,LEC,16,3433.437222222222
0 days 00:00:20.781000,251.09805555555556,1,LEC,16,3433.437222222222
0 days 00:00:21.061000,255.45361111111114,1,LEC,16,3433.437222222222
0 days 00:00:21.221000,257.8980555555556,1,LEC,16,3433.437222222222
0 days 00:00:21.381000,260.29805555555555,1,LEC,16,3433.437222222222
0 days 00:00:21.741000,265.49805555555554,1,LEC,16,3433.437222222222
0 days 00:00:22.101000,270.3980555555555,1,LEC,16,3433.437222222222
0 days 00:00:22.340000,273.6511111111111,1,LEC,16,3433.437222222222
0 days 00:00:22.540000,276.37333333333333,1,LEC,16,3433.437222222222
0 days 00:00:22.940000,281.92888888888893,1,LEC,16,3433.437222222222
0 days 00:00:23.220000,285.8955555555556,1,LEC,16,3433.437222222222
0 days 00:00:23.620000,291.89555555555563,1,LEC,16,3433.437222222222
0 days 00:00:24.020000,298.22888888888895,1,LEC,16,3433.437222222222
0 days 00:00:24.381000,304.54638888888894,1,LEC,16,3433.437222222222
0 days 00:00:24.860000,314.52555555555557,1,LEC,16,3433.437222222222
0 days 00:00:25.020000,318.0811111111111,1,LEC,16,3433.437222222222
0 days 00:00:25.301000,324.4816666666666,1,LEC,16,3433.437222222222
0 days 00:00:25.581000,331.4816666666667,1,LEC,16,3433.437222222222
0 days 00:00:25.861000,339.72611111111115,1,LEC,16,3433.437222222222
0 days 00:00:26.141000,348.6705555555555,1,LEC,16,3433.437222222222
0 days 00:00:26.381000,357.6038888888889,1,LEC,16,3433.437222222222
0 days 00:00:26.661000,368.415,1,LEC,16,3433.437222222222
0 days 00:00:27.141000,387.48166666666657,1,LEC,16,3433.437222222222
0 days 00:00:27.301000,393.5705555555555,1,LEC,16,3433.437222222222
0 days 00:00:27.461000,399.6594444444444,1,LEC,16,3433.437222222222
0 days 00:00:27.661000,407.5483333333334,1,LEC,16,3433.437222222222
0 days 00:00:27.821000,413.7261111111112,1,LEC,16,3433.437222222222
0 days 00:00:28.181000,426.02611111111116,1,LEC,16,3433.437222222222
0 days 00:00:28.501000,435.98166666666674,1,LEC,16,3433.437222222222
0 days 00:00:28.701000,441.92611111111114,1,LEC,16,3433.437222222222
0 days 00:00:28.860000,446.74027777777775,1,LEC,16,3433.437222222222
0 days 00:00:29.060000,452.9069444444444,1,LEC,16,3433.437222222222
0 days 00:00:29.380000,463.57361111111106,1,LEC,16,3433.437222222222
0 days 00:00:29.700000,476.0180555555555,1,LEC,16,3433.437222222222
0 days 00:00:30.020000,488.81805555555553,1,LEC,16,3433.437222222222
0 days 00:00:30.420000,502.15138888888896,1,LEC,16,3433.437222222222
0 days 00:00:30.701000,510.8155555555556,1,LEC,16,3433.437222222222
0 days 00:00:31.100000,522.0097222222223,1,LEC,16,3433.437222222222
0 days 00:00:31.540000,534.4763888888889,1,LEC,16,3433.437222222222
0 days 00:00:31.700000,539.0986111111112,1,LEC,16,3433.437222222222
0 days 00:00:31.901000,544.9611111111112,1,LEC,16,3433.437222222222
0 days 00:00:32.061000,549.6277777777779,1,LEC,16,3433.437222222222
0 days 00:00:32.221000,554.3388888888888,1,LEC,16,3433.437222222222
0 days 00:00:32.501000,562.6611111111112,1,LEC,16,3433.437222222222
0 days 00:00:32.701000,568.7166666666668,1,LEC,16,3433.437222222222
0 days 00:00:32.981000,577.8944444444446,1,LEC,16,3433.437222222222
0 days 00:00:33.381000,591.8944444444446,1,LEC,16,3433.437222222222
0 days 00:00:33.581000,599.3944444444447,1,LEC,16,3433.437222222222
0 days 00:00:33.781000,607.6722222222223,1,LEC,16,3433.437222222222
0 days 00:00:34.101000,619.3166666666668,1,LEC,16,3433.437222222222
0 days 00:00:34.261000,624.7833333333336,1,LEC,16,3433.437222222222
0 days 00:00:34.541000,633.8833333333334,1,LEC,16,3433.437222222222
0 days 00:00:34.741000,639.9388888888891,1,LEC,16,3433.437222222222
0 days 00:00:35.061000,649.5388888888891,1,LEC,16,3433.437222222222
0 days 00:00:35.261000,655.7055555555559,1,LEC,16,3433.437222222222
