Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate,PitLap
0 days 03:51:01.333000,10,0 days 00:01:17.871000,56,,,0 days 00:00:20.686000,0 days 00:00:36.363000,0 days 00:00:20.822000,0 days 03:50:04.148000,0 days 03:50:40.511000,0 days 03:51:01.333000,195.0,189.0,266.0,284.0,False,HARD,34.0,False,4,0 days 03:49:43.462000,AlphaTauri,GAS,2,True,2022-05-29 15:50:43.483,
0 days 03:52:19.330000,10,0 days 00:01:17.997000,57,,,0 days 00:00:20.667000,0 days 00:00:36.546000,0 days 00:00:20.784000,0 days 03:51:22,0 days 03:51:58.546000,0 days 03:52:19.330000,197.0,189.0,266.0,283.0,False,HARD,35.0,False,4,0 days 03:51:01.333000,AlphaTauri,GAS,1,True,2022-05-29 15:52:01.354,
0 days 03:53:37.422000,10,0 days 00:01:18.092000,58,,,0 days 00:00:20.614000,0 days 00:00:36.508000,0 days 00:00:20.970000,0 days 03:52:39.944000,0 days 03:53:16.452000,0 days 03:53:37.422000,201.0,181.0,259.0,285.0,False,HARD,36.0,False,4,0 days 03:52:19.330000,AlphaTauri,GAS,1,True,2022-05-29 15:53:19.351,
0 days 03:54:55.388000,10,0 days 00:01:17.966000,59,,,0 days 00:00:20.675000,0 days 00:00:36.539000,0 days 00:00:20.752000,0 days 03:53:58.097000,0 days 03:54:34.636000,0 days 03:54:55.388000,,189.0,260.0,284.0,False,HARD,37.0,False,4,0 days 03:53:37.422000,AlphaTauri,GAS,2,True,2022-05-29 15:54:37.443,
0 days 03:56:12.970000,10,0 days 00:01:17.582000,60,,,0 days 00:00:20.580000,0 days 00:00:36.470000,0 days 00:00:20.532000,0 days 03:55:15.968000,0 days 03:55:52.438000,0 days 03:56:12.970000,199.0,190.0,267.0,284.0,False,HARD,38.0,False,4,0 days 03:54:55.388000,AlphaTauri,GAS,1,True,2022-05-29 15:55:55.409,
0 days 03:57:30.314000,10,0 days 00:01:17.344000,61,,,0 days 00:00:20.548000,0 days 00:00:36.339000,0 days 00:00:20.457000,0 days 03:56:33.518000,0 days 03:57:09.857000,0 days 03:57:30.314000,,185.0,268.0,285.0,True,HARD,39.0,False,4,0 days 03:56:12.970000,AlphaTauri,GAS,1,True,2022-05-29 15:57:12.991,
0 days 03:58:48.436000,10,0 days 00:01:18.122000,62,,,0 days 00:00:20.722000,0 days 00:00:36.526000,0 days 00:00:20.874000,0 days 03:57:51.036000,0 days 03:58:27.562000,0 days 03:58:48.436000,189.0,189.0,267.0,286.0,False,HARD,40.0,False,4,0 days 03:57:30.314000,AlphaTauri,GAS,1,True,2022-05-29 15:58:30.335,
0 days 04:00:06.914000,10,0 days 00:01:18.478000,63,,,0 days 00:00:20.913000,0 days 00:00:36.789000,0 days 00:00:20.776000,0 days 03:59:09.349000,0 days 03:59:46.138000,0 days 04:00:06.914000,199.0,186.0,267.0,285.0,False,HARD,41.0,False,4,0 days 03:58:48.436000,AlphaTauri,GAS,1,True,2022-05-29 15:59:48.457,
0 days 04:01:25.065000,10,0 days 00:01:18.151000,64,,,0 days 00:00:20.575000,0 days 00:00:36.830000,0 days 00:00:20.746000,0 days 04:00:27.489000,0 days 04:01:04.319000,0 days 04:01:25.065000,,188.0,268.0,285.0,False,HARD,42.0,False,4,0 days 04:00:06.914000,AlphaTauri,GAS,1,True,2022-05-29 16:01:06.935,
0 days 02:06:50.468000,31,,1,0 days 02:04:43.385000,0 days 02:04:42.708000,,0 days 00:01:02.083000,0 days 00:00:31.884000,,0 days 02:06:18.656000,0 days 02:06:50.509000,107.0,113.0,165.0,162.0,False,HARD,1.0,True,2,0 days 02:04:00.206000,Alpine,OCO,2,False,2022-05-29 14:05:00.227,1.0
