Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate
0 days 01:03:38.795000,16,0 days 00:01:29.902000,35,,,0 days 00:00:29.978000,0 days 00:00:24.110000,0 days 00:00:35.814000,0 days 01:02:38.871000,0 days 01:03:02.981000,0 days 01:03:38.795000,266.0,294.0,297.0,306.0,False,ULTRASOFT,8.0,True,3.0,0 days 01:02:08.893000,Sauber,LEC,1,True
0 days 01:05:08.694000,16,0 days 00:01:29.899000,36,,,0 days 00:00:29.985000,0 days 00:00:24.064000,0 days 00:00:35.850000,0 days 01:04:08.780000,0 days 01:04:32.844000,0 days 01:05:08.694000,,294.0,285.0,290.0,False,ULTRASOFT,9.0,True,3.0,0 days 01:03:38.795000,Sauber,LEC,1,True
0 days 01:06:38.641000,16,0 days 00:01:29.947000,37,,,0 days 00:00:29.956000,0 days 00:00:24.143000,0 days 00:00:35.848000,0 days 01:05:38.650000,0 days 01:06:02.793000,0 days 01:06:38.641000,270.0,291.0,284.0,280.0,False,ULTRASOFT,10.0,True,3.0,0 days 01:05:08.694000,Sauber,LEC,1,True
0 days 01:08:08.149000,16,0 days 00:01:29.508000,38,,,0 days 00:00:29.729000,0 days 00:00:24.075000,0 days 00:00:35.704000,0 days 01:07:08.370000,0 days 01:07:32.445000,0 days 01:08:08.149000,271.0,293.0,285.0,287.0,False,ULTRASOFT,11.0,True,3.0,0 days 01:06:38.641000,Sauber,LEC,1,True
0 days 01:09:37.630000,16,0 days 00:01:29.481000,39,,,0 days 00:00:29.836000,0 days 00:00:24.057000,0 days 00:00:35.588000,0 days 01:08:37.985000,0 days 01:09:02.042000,0 days 01:09:37.630000,,291.0,281.0,288.0,False,ULTRASOFT,12.0,True,3.0,0 days 01:08:08.149000,Sauber,LEC,1,True
0 days 01:11:07.806000,16,0 days 00:01:30.176000,40,,,0 days 00:00:29.878000,0 days 00:00:24.040000,0 days 00:00:36.258000,0 days 01:10:07.508000,0 days 01:10:31.548000,0 days 01:11:07.806000,268.0,288.0,281.0,284.0,False,ULTRASOFT,13.0,True,3.0,0 days 01:09:37.630000,Sauber,LEC,1,True
0 days 01:12:37.887000,16,0 days 00:01:30.081000,41,,,0 days 00:00:30.046000,0 days 00:00:24.121000,0 days 00:00:35.914000,0 days 01:11:37.852000,0 days 01:12:01.973000,0 days 01:12:37.887000,,289.0,280.0,278.0,False,ULTRASOFT,14.0,True,3.0,0 days 01:11:07.806000,Sauber,LEC,1,True
0 days 01:14:07.298000,16,0 days 00:01:29.411000,42,,,0 days 00:00:29.803000,0 days 00:00:23.991000,0 days 00:00:35.617000,0 days 01:13:07.690000,0 days 01:13:31.681000,0 days 01:14:07.298000,271.0,288.0,281.0,279.0,False,ULTRASOFT,15.0,True,3.0,0 days 01:12:37.887000,Sauber,LEC,1,True
0 days 01:15:36.591000,16,0 days 00:01:29.293000,43,,,0 days 00:00:29.695000,0 days 00:00:23.957000,0 days 00:00:35.641000,0 days 01:14:36.993000,0 days 01:15:00.950000,0 days 01:15:36.591000,269.0,289.0,280.0,283.0,False,ULTRASOFT,16.0,True,3.0,0 days 01:14:07.298000,Sauber,LEC,1,True
0 days 01:17:06.166000,16,0 days 00:01:29.575000,44,,,0 days 00:00:30.026000,0 days 00:00:23.999000,0 days 00:00:35.550000,0 days 01:16:06.617000,0 days 01:16:30.616000,0 days 01:17:06.166000,,291.0,280.0,279.0,False,ULTRASOFT,17.0,True,3.0,0 days 01:15:36.591000,Sauber,LEC,1,True
