Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate
0 days 00:44:46.404000,14,0 days 00:01:36.772000,22,,,0 days 00:00:30.939000,0 days 00:00:41.908000,0 days 00:00:23.925000,0 days 00:43:40.571000,0 days 00:44:22.479000,0 days 00:44:46.404000,235.0,253.0,275.0,288.0,False,MEDIUM,8.0,True,2.0,0 days 00:43:09.632000,McLaren,ALO,1,True
0 days 00:46:23.267000,14,0 days 00:01:36.863000,23,,,0 days 00:00:30.879000,0 days 00:00:42.023000,0 days 00:00:23.961000,0 days 00:45:17.283000,0 days 00:45:59.306000,0 days 00:46:23.267000,,251.0,277.0,292.0,False,MEDIUM,9.0,True,2.0,0 days 00:44:46.404000,McLaren,ALO,1,True
0 days 00:47:59.953000,14,0 days 00:01:36.686000,24,,,0 days 00:00:30.896000,0 days 00:00:41.933000,0 days 00:00:23.857000,0 days 00:46:54.163000,0 days 00:47:36.096000,0 days 00:47:59.953000,234.0,256.0,275.0,294.0,False,MEDIUM,10.0,True,2.0,0 days 00:46:23.267000,McLaren,ALO,1,True
0 days 00:49:36.702000,14,0 days 00:01:36.749000,25,,,0 days 00:00:30.865000,0 days 00:00:42.004000,0 days 00:00:23.880000,0 days 00:48:30.818000,0 days 00:49:12.822000,0 days 00:49:36.702000,235.0,254.0,275.0,291.0,False,MEDIUM,11.0,True,2.0,0 days 00:47:59.953000,McLaren,ALO,1,True
0 days 00:51:13.173000,14,0 days 00:01:36.471000,26,,,0 days 00:00:30.863000,0 days 00:00:41.766000,0 days 00:00:23.842000,0 days 00:50:07.565000,0 days 00:50:49.331000,0 days 00:51:13.173000,236.0,255.0,274.0,290.0,False,MEDIUM,12.0,True,2.0,0 days 00:49:36.702000,McLaren,ALO,1,True
0 days 00:52:49.524000,14,0 days 00:01:36.351000,27,,,0 days 00:00:30.796000,0 days 00:00:41.787000,0 days 00:00:23.768000,0 days 00:51:43.969000,0 days 00:52:25.756000,0 days 00:52:49.524000,235.0,246.0,275.0,289.0,False,MEDIUM,13.0,True,2.0,0 days 00:51:13.173000,McLaren,ALO,2,True
0 days 00:54:26.092000,14,0 days 00:01:36.568000,28,,,0 days 00:00:30.928000,0 days 00:00:41.765000,0 days 00:00:23.875000,0 days 00:53:20.452000,0 days 00:54:02.217000,0 days 00:54:26.092000,,255.0,275.0,286.0,False,MEDIUM,14.0,True,2.0,0 days 00:52:49.524000,McLaren,ALO,1,True
0 days 00:56:02.564000,14,0 days 00:01:36.472000,29,,,0 days 00:00:30.881000,0 days 00:00:41.740000,0 days 00:00:23.851000,0 days 00:54:56.973000,0 days 00:55:38.713000,0 days 00:56:02.564000,236.0,255.0,274.0,290.0,False,MEDIUM,15.0,True,2.0,0 days 00:54:26.092000,McLaren,ALO,1,True
0 days 00:57:38.946000,14,0 days 00:01:36.382000,30,,,0 days 00:00:30.838000,0 days 00:00:41.675000,0 days 00:00:23.869000,0 days 00:56:33.402000,0 days 00:57:15.077000,0 days 00:57:38.946000,234.0,255.0,274.0,289.0,False,MEDIUM,16.0,True,2.0,0 days 00:56:02.564000,McLaren,ALO,1,True
0 days 00:59:15.662000,14,0 days 00:01:36.716000,31,,,0 days 00:00:30.848000,0 days 00:00:41.943000,0 days 00:00:23.925000,0 days 00:58:09.794000,0 days 00:58:51.737000,0 days 00:59:15.662000,,249.0,274.0,286.0,False,MEDIUM,17.0,True,2.0,0 days 00:57:38.946000,McLaren,ALO,1,True
0 days 01:00:52.707000,14,0 days 00:01:37.045000,32,,,0 days 00:00:30.984000,0 days 00:00:42.169000,0 days 00:00:23.892000,0 days 00:59:46.646000,0 days 01:00:28.815000,0 days 01:00:52.707000,235.0,248.0,275.0,285.0,False,MEDIUM,18.0,True,2.0,0 days 00:59:15.662000,McLaren,ALO,1,True
0 days 01:02:29.163000,14,0 days 00:01:36.456000,33,,,0 days 00:00:30.841000,0 days 00:00:41.722000,0 days 00:00:23.893000,0 days 01:01:23.548000,0 days 01:02:05.270000,0 days 01:02:29.163000,,246.0,275.0,286.0,False,MEDIUM,19.0,True,2.0,0 days 01:00:52.707000,McLaren,ALO,1,True
0 days 01:04:05.588000,14,0 days 00:01:36.425000,34,,,0 days 00:00:30.825000,0 days 00:00:41.717000,0 days 00:00:23.883000,0 days 01:02:59.988000,0 days 01:03:41.705000,0 days 01:04:05.588000,234.0,251.0,275.0,,False,MEDIUM,20.0,True,2.0,0 days 01:02:29.163000,McLaren,ALO,1,True
0 days 01:05:42.132000,14,0 days 00:01:36.544000,35,,,0 days 00:00:30.831000,0 days 00:00:41.825000,0 days 00:00:23.888000,0 days 01:04:36.419000,0 days 01:05:18.244000,0 days 01:05:42.132000,236.0,248.0,276.0,289.0,False,MEDIUM,21.0,True,2.0,0 days 01:04:05.588000,McLaren,ALO,1,True
0 days 01:07:19.142000,14,0 days 00:01:37.010000,36,,,0 days 00:00:30.933000,0 days 00:00:42.159000,0 days 00:00:23.918000,0 days 01:06:13.065000,0 days 01:06:55.224000,0 days 01:07:19.142000,,254.0,276.0,279.0,False,MEDIUM,22.0,True,2.0,0 days 01:05:42.132000,McLaren,ALO,1,True
0 days 01:08:55.531000,14,0 days 00:01:36.389000,37,,,0 days 00:00:30.862000,0 days 00:00:41.683000,0 days 00:00:23.844000,0 days 01:07:50.004000,0 days 01:08:31.687000,0 days 01:08:55.531000,,256.0,276.0,290.0,False,MEDIUM,23.0,True,2.0,0 days 01:07:19.142000,McLaren,ALO,1,True
0 days 01:10:31.893000,14,0 days 00:01:36.362000,38,,,0 days 00:00:30.790000,0 days 00:00:41.685000,0 days 00:00:23.887000,0 days 01:09:26.321000,0 days 01:10:08.006000,0 days 01:10:31.893000,237.0,252.0,276.0,288.0,False,MEDIUM,24.0,True,2.0,0 days 01:08:55.531000,McLaren,ALO,1,True
0 days 01:12:11.271000,14,0 days 00:01:39.378000,39,,0 days 01:12:09.508000,0 days 00:00:30.778000,0 days 00:00:41.923000,0 days 00:00:26.677000,0 days 01:11:02.671000,0 days 01:11:44.594000,0 days 01:12:11.271000,,256.0,,290.0,False,MEDIUM,25.0,True,2.0,0 days 01:10:31.893000,McLaren,ALO,1,False
0 days 01:14:06.334000,14,0 days 00:01:55.063000,40,0 days 01:12:34.248000,,0 days 00:00:50.687000,0 days 00:00:40.863000,0 days 00:00:23.513000,0 days 01:13:01.958000,0 days 01:13:42.821000,0 days 01:14:06.334000,239.0,241.0,277.0,226.0,False,SUPERSOFT,1.0,True,3.0,0 days 01:12:11.271000,McLaren,ALO,2,False
0 days 01:15:41.674000,14,0 days 00:01:35.340000,41,,,0 days 00:00:30.638000,0 days 00:00:41.071000,0 days 00:00:23.631000,0 days 01:14:36.972000,0 days 01:15:18.043000,0 days 01:15:41.674000,235.0,246.0,278.0,283.0,False,SUPERSOFT,2.0,True,3.0,0 days 01:14:06.334000,McLaren,ALO,1,True
0 days 01:17:17.369000,14,0 days 00:01:35.695000,42,,,0 days 00:00:30.773000,0 days 00:00:41.161000,0 days 00:00:23.761000,0 days 01:16:12.447000,0 days 01:16:53.608000,0 days 01:17:17.369000,232.0,239.0,279.0,282.0,False,SUPERSOFT,3.0,True,3.0,0 days 01:15:41.674000,McLaren,ALO,1,True
0 days 01:18:52.864000,14,0 days 00:01:35.495000,43,,,0 days 00:00:30.841000,0 days 00:00:41.029000,0 days 00:00:23.625000,0 days 01:17:48.210000,0 days 01:18:29.239000,0 days 01:18:52.864000,234.0,258.0,290.0,285.0,False,SUPERSOFT,4.0,True,3.0,0 days 01:17:17.369000,McLaren,ALO,1,True
0 days 01:20:28.603000,14,0 days 00:01:35.739000,44,,,0 days 00:00:30.617000,0 days 00:00:41.463000,0 days 00:00:23.659000,0 days 01:19:23.481000,0 days 01:20:04.944000,0 days 01:20:28.603000,236.0,247.0,277.0,321.0,False,SUPERSOFT,5.0,True,3.0,0 days 01:18:52.864000,McLaren,ALO,1,True
0 days 01:22:04.123000,14,0 days 00:01:35.520000,45,,,0 days 00:00:30.914000,0 days 00:00:41.052000,0 days 00:00:23.554000,0 days 01:20:59.517000,0 days 01:21:40.569000,0 days 01:22:04.123000,235.0,253.0,276.0,271.0,False,SUPERSOFT,6.0,True,3.0,0 days 01:20:28.603000,McLaren,ALO,1,True
